Time,BM7,BM8,BM9,BM10
7.4551,6,4,3,55
7.4794,8,1,0,52
7.508,4,8,8,56
7.5366,8,4,6,60
7.5652,6,5,3,56
7.5938,8,2,5,57
7.6225,7,2,6,57
7.6474,7,2,9,58
7.6758,6,3,7,56
7.7052,7,8,5,56
7.7332,7,1,4,60
7.7622,7,2,1,57
7.7867,7,6,5,56
7.8154,7,6,7,57
7.844,6,3,4,60
7.8725,7,1,4,56
7.9014,9,3,5,58
7.9298,7,7,9,54
7.9546,4,2,5,56
7.9832,5,3,7,58
8.0119,8,3,3,55
8.0405,7,1,7,58
8.069,6,1,6,60
8.0937,0,0,0,0
8.1223,0,1,0,3
8.1509,3,0,3,3
8.1798,3,4,5,0
8.2083,0,4,4,2
8.233,2,3,0,2
8.2619,5,3,9,2
8.2903,0,3,3,0
8.3188,0,5,6,3
8.3475,6,2,3,9
8.3816,5,0,7,5
8.4009,3,3,6,7
8.4302,2,0,5,6
8.4582,5,3,2,6
8.4868,5,4,6,2
8.5115,2,1,4,6
8.5401,5,3,5,7
8.5688,5,3,5,4
8.5974,4,2,5,2
8.626,3,1,7,0
8.6551,4,1,4,9
8.6833,3,3,6,10
8.7081,4,4,2,5
8.7369,3,4,9,10
8.7654,3,1,4,8
8.7939,0,2,3,7
8.8225,5,3,1,10
8.8473,3,5,7,8
8.8765,6,4,4,12
8.9046,3,5,5,10
8.9332,8,3,3,6
8.9581,2,3,6,8
8.9866,4,6,6,8
9.0173,3,1,8,7
9.0439,7,3,5,10
9.0726,3,3,10,7
9.1014,3,6,5,10
9.1262,3,1,2,5
9.1551,6,2,2,7
9.1835,2,4,5,14
9.2119,2,3,3,6
9.2405,0,5,4,9
9.2653,6,4,7,6
9.2939,4,8,7,8
9.3226,4,6,4,10
9.3512,1,4,6,8
9.3797,5,4,6,5
9.4086,0,4,3,5
9.4333,1,2,2,8
9.4618,4,1,4,6
9.4903,2,0,5,4
9.5189,5,3,1,3
9.5475,2,0,9,6
9.5766,3,2,3,11
9.601,2,2,2,7
9.6296,6,3,4,5
9.6582,2,4,3,2
9.6869,2,5,3,13
9.7116,4,0,5,5
9.7402,2,7,4,6
9.7688,2,7,7,8
9.7975,2,4,5,10
9.8261,5,4,5,8
9.8548,4,3,3,8
9.8834,6,10,5,8
9.9081,1,1,2,11
9.9369,4,6,7,9
9.9653,1,6,1,7
9.994,1,10,0,7
10.0226,0,7,4,11
10.0474,4,4,6,9
10.0761,3,4,4,6
10.1046,6,9,4,9
10.1333,7,6,7,9
10.1621,4,3,1,7
10.1871,7,2,5,9
10.2153,9,3,4,5
10.2439,5,5,8,9
10.2725,7,2,6,8
10.3012,5,4,3,9
10.3259,7,6,1,8
10.3544,2,5,4,7
10.3832,5,1,5,11
10.4123,8,3,5,7
10.4405,6,5,4,11
10.4691,6,4,8,7
10.4979,5,2,5,13
10.5225,6,2,1,12
10.5511,7,0,5,8
10.5797,9,6,4,5
10.6084,4,2,6,13
10.6331,2,5,5,9
10.6624,8,1,5,5
10.6906,5,4,5,4
10.7191,4,2,6,10
10.7476,5,4,3,4
10.7725,7,4,3,4
10.8014,7,2,2,9
10.8304,8,3,9,6
10.8591,0,4,4,4
10.8875,6,6,3,9
10.9162,6,2,3,8
10.9404,4,9,5,6
10.9693,2,5,4,14
10.9977,3,4,1,7
11.0263,3,1,3,6
11.0549,5,6,4,6
11.0797,6,0,8,8
11.1083,5,1,4,6
11.1376,2,3,7,9
11.1665,8,3,3,9
11.1944,5,3,8,5
11.2228,3,4,2,12
11.2485,4,5,8,6
11.2769,10,4,2,7
11.3066,4,1,7,6
11.334,3,2,4,9
11.3625,4,6,0,8
11.3874,5,2,4,4
11.4155,9,4,5,4
11.4442,5,3,8,5
11.4729,4,6,6,8
11.5018,4,1,6,5
11.5263,9,1,5,4
11.555,5,4,8,8
11.5835,4,3,4,11
11.6124,2,4,6,8
11.6406,6,2,3,4
11.6661,5,4,6,6
11.6941,1,2,6,7
11.7228,1,2,3,9
11.7513,2,5,4,8
11.78,11,0,6,6
11.8085,5,4,8,6
11.8372,5,5,4,11
11.8619,5,5,6,7
11.8905,6,6,7,9
11.9192,8,3,8,2
11.948,4,5,5,9
11.9727,5,6,5,8
12.0012,4,1,8,8
12.0298,4,7,3,5
12.0589,3,6,4,11
12.087,6,5,4,5
12.1118,6,5,8,7
12.1442,7,5,3,10
12.1689,6,5,6,11
12.1976,4,6,8,7
12.2262,6,4,3,9
12.2549,9,8,6,6
12.2836,7,8,11,11
12.3082,4,4,5,3
12.3368,5,3,6,8
12.3654,4,9,7,9
12.3941,7,3,7,11
12.4227,3,5,5,10
12.4475,5,2,7,6
12.4763,3,10,6,6
12.5048,7,7,5,10
12.5334,6,4,5,12
12.5619,8,7,4,9
12.5867,3,6,6,9
12.6154,4,8,6,10
12.644,4,4,3,9
12.6727,9,2,4,8
12.7015,5,8,6,5
12.7265,7,4,6,9
12.7546,1,6,4,7
12.7832,8,5,7,6
12.8118,7,6,5,8
12.8408,6,1,8,8
12.8692,6,4,5,6
12.894,5,5,3,5
12.9225,9,7,2,3
12.9511,6,4,7,6
12.9798,4,5,6,11
13.0084,1,1,4,7
13.0332,2,4,5,8
13.0618,6,6,3,9
13.0905,6,0,7,6
13.1191,6,2,4,9
13.1478,6,3,7,8
13.1763,7,4,4,10
13.205,5,4,7,11
13.2297,6,2,2,8
13.2584,4,1,4,7
13.287,9,0,3,10
13.3155,5,3,8,5
13.3403,8,6,5,6
13.369,5,3,7,9
13.3975,7,2,1,5
13.4263,7,8,6,5
13.4548,3,2,4,9
13.4804,3,0,6,5
13.5084,6,1,3,8
13.5369,7,3,6,9
13.566,3,2,10,5
13.5941,1,3,2,9
13.6188,7,1,6,4
13.6475,9,1,3,4
13.6766,2,8,1,7
13.7048,2,2,4,7
13.7335,6,4,2,5
13.762,0,3,8,3
13.7868,9,3,5,9
13.8159,6,7,9,5
13.844,5,5,4,10
13.8735,6,2,0,12
13.9014,9,1,9,8
13.9268,5,6,7,6
13.9547,3,5,7,11
13.9833,3,9,6,8
14.0119,2,8,6,4
14.0406,7,10,6,9
14.0694,2,7,10,12
14.094,1,6,7,7
14.1227,11,9,8,8
14.1512,3,10,11,4
14.1799,4,7,9,7
14.2087,7,10,9,9
14.2372,8,9,9,11
14.2659,1,7,8,10
14.2906,6,12,7,4
14.3193,6,13,5,10
14.3479,4,16,10,5
14.3765,6,18,8,7
14.4052,10,19,10,10
14.4338,7,17,12,6
14.4625,5,15,5,10
14.4872,5,14,6,7
14.5159,7,15,14,8
14.5444,5,13,11,8
14.573,4,15,10,6
14.6017,4,14,14,7
14.6264,6,19,8,7
14.655,5,14,7,6
14.6838,5,19,8,9
14.7124,6,16,5,6
14.7409,6,16,7,5
14.7696,11,17,9,9
14.7982,3,16,10,9
14.8229,6,19,5,7
14.8517,10,17,6,6
14.8804,5,17,10,7
14.9089,8,19,5,8
14.9377,4,19,10,7
14.9662,6,17,12,8
14.9908,2,21,7,7
15.0195,7,21,10,6
15.0482,8,17,12,9
15.077,7,18,8,7
15.1055,5,20,8,3
15.1302,6,20,8,8
15.1589,4,19,8,6
15.1875,5,20,7,11
15.2161,4,24,10,8
15.2447,5,17,7,7
15.2737,5,14,7,8
15.3021,4,14,9,10
15.3292,5,12,7,10
15.3555,4,14,8,6
15.384,5,11,7,7
15.4126,3,9,14,9
